"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"248",519317,"Stanton, Giancarlo","2401","10.3","0.383","0.359","0.314","0.742","0.471","0.454","0.364","95","248","94.6","10.9","2226","85.3","85.03","0","248","0","-0.3","6.33","109","154","123","148","308","332","294"
"248",553993,"Suárez, Eugenio","2390","10.4","0.287","0.316","0.216","0.602","0.364","0.388","0.306","70","244","89.1","17.6","2199","87.2","87.34","0","248","0","0.1","6.29","107","152","120","144","301","326","297"
"248",624585,"Soler, Jorge","2413","10.3","0.305","0.251","0.254","0.556","0.355","0.404","0.337","74","243","90.7","15.5","2244","86.5","86.54","0","248","0","0.0","6.23","107","152","122","146","307","330","303"
"248",668942,"Rojas, Josh","2316","10.7","0.364","0.198","0.344","0.563","0.391","0.327","0.312","90","247","86.9","6.9","2174","86.6","85.55","0","248","0","-1.1","6.29","119","153","119","151","293","322","304"
"247",621035,"Taylor, Chris","2384","10.4","0.366","0.272","0.323","0.638","0.417","0.414","0.350","89","243","87.6","16.6","2212","86.7","85.63","0","247","0","-1.1","6.23","107","151","116","146","303","323","295"
"247",649966,"Urías, Luis","2278","10.8","0.321","0.256","0.276","0.577","0.376","0.346","0.303","79","246","87.2","14.7","2211","85.8","84.22","0","247","0","-1.6","6.19","108","152","115","146","301","320","290"
"245",541645,"García, Avisaíl","1756","14.0","0.355","0.326","0.287","0.682","0.429","0.448","0.368","86","242","90.5","9.9","2232","85.6","83.51","0","245","0","-2.1","6.19","106","152","120","145","304","324","294"
"245",669257,"Smith, Will","2080","11.8","0.312","0.266","0.253","0.578","0.361","0.382","0.311","74","237","88.7","19.2","2248","86.0","84.70","0","245","0","-1.3","6.30","106","152","120","146","305","324","295"
"243",592178,"Bryant, Kris","2230","10.9","0.369","0.307","0.322","0.676","0.435","0.407","0.353","89","241","87.9","16.5","2295","86.8","86.66","0","243","0","-0.1","6.33","108","153","121","146","302","325","297"
"240",458015,"Votto, Joey","2231","10.8","0.373","0.407","0.293","0.780","0.471","0.493","0.388","88","236","92.2","16.5","2165","86.4","86.13","0","240","0","-0.3","6.28","114","161","136","150","294","324","303"
"240",641531,"Dozier, Hunter","2076","11.6","0.309","0.233","0.274","0.542","0.351","0.369","0.330","73","236","88.6","16.3","2220","86.2","85.87","0","240","0","-0.3","6.18","107","152","120","146","304","325","297"
"240",544725,"García, Leury","1672","14.4","0.351","0.145","0.332","0.496","0.353","0.329","0.318","80","228","83.9","1.7","2067","86.3","86.38","0","240","0","0.1","6.28","105","147","104","146","289","319","294"
"240",642715,"Adames, Willy","2221","10.8","0.360","0.326","0.306","0.686","0.436","0.403","0.328","86","239","89.4","18.1","2189","87.6","86.95","0","240","0","-0.6","6.28","105","152","117","146","304","323","294"
"239",650489,"Castro, Willi","1632","14.6","0.309","0.210","0.278","0.519","0.344","0.365","0.336","72","233","85.1","10.9","2112","85.6","85.50","0","239","0","-0.1","6.22","111","151","112","149","294","321","294"
"239",596146,"Kepler, Max","1876","12.7","0.263","0.225","0.224","0.487","0.310","0.363","0.321","62","236","87.9","17.2","2133","85.8","85.89","0","239","0","0.1","6.26","118","165","129","150","297","325","300"
"238",595879,"Báez, Javier","2065","11.5","0.449","0.390","0.380","0.839","0.536","0.475","0.389","106","236","89.5","11.6","2287","85.4","85.15","0","238","0","-0.2","6.29","105","151","118","146","302","325","294"
"237",457705,"McCutchen, Andrew","2308","10.3","0.289","0.280","0.227","0.569","0.351","0.373","0.321","67","232","86.7","12.6","2175","86.2","86.20","0","237","0","0.0","6.25","106","152","118","146","302","323","291"
"237",527038,"Flores, Wilmer","1727","13.7","0.301","0.229","0.256","0.530","0.348","0.332","0.288","71","236","88.1","16.8","2178","86.4","86.60","0","237","0","0.2","6.34","108","152","121","146","300","321","294"
"236",592696,"Rosario, Eddie","1508","15.6","0.313","0.193","0.283","0.506","0.344","0.343","0.303","73","233","86.9","13.0","2166","85.5","84.76","0","236","0","-0.7","6.21","116","159","117","151","293","322","299"
"235",608369,"Seager, Corey","1397","16.8","0.356","0.245","0.318","0.601","0.400","0.420","0.355","83","233","90.5","10.2","2214","85.0","83.23","0","235","0","-1.8","6.20","118","160","139","150","298","325","307"
"231",594807,"Duvall, Adam","2158","10.7","0.354","0.380","0.275","0.734","0.449","0.466","0.353","81","229","89.6","22.8","2268","86.2","85.86","0","231","0","-0.3","6.33","106","152","120","145","305","325","296"
"230",656305,"Chapman, Matt","2675","8.6","0.307","0.267","0.248","0.573","0.361","0.395","0.324","69","225","87.9","16.9","2187","85.9","85.97","0","230","0","0.1","6.28","107","153","121","147","305","327","295"
"229",573262,"Yastrzemski, Mike","2103","10.9","0.298","0.271","0.255","0.569","0.357","0.360","0.301","67","225","87.9","16.7","2223","85.9","85.59","0","229","0","-0.3","6.27","116","155","119","152","294","323","305"
"227",641658,"Hampson, Garrett","1905","11.9","0.327","0.184","0.306","0.511","0.351","0.323","0.296","73","223","82.9","12.9","2251","86.8","86.21","0","227","0","-0.6","6.19","103","150","105","146","307","327","293"
"227",502054,"Pham, Tommy","2373","9.6","0.291","0.206","0.253","0.498","0.327","0.382","0.332","65","223","90.2","7.9","2220","87.3","87.30","0","227","0","0.0","6.27","107","152","118","147","303","324","293"
"224",683734,"Vaughn, Andrew","1787","12.5","0.276","0.208","0.238","0.484","0.316","0.347","0.295","61","221","90.0","9.3","2205","86.2","85.34","0","224","0","-0.9","6.29","105","152","119","146","302","324","290"
"223",570482,"Urshela, Gio","1697","13.1","0.342","0.207","0.310","0.550","0.376","0.371","0.332","76","222","88.5","7.1","2237","85.6","85.62","0","223","0","0.0","6.33","107","152","121","148","306","324","287"
"223",663757,"Grisham, Trent","2168","10.3","0.342","0.269","0.300","0.612","0.395","0.357","0.331","75","219","88.5","10.7","2122","86.4","85.65","0","223","0","-0.7","6.27","113","151","114","150","292","323","301"
"222",641933,"O'Neill, Tyler","2070","10.7","0.443","0.470","0.362","0.913","0.557","0.565","0.434","97","219","92.3","20.2","2281","86.1","85.75","0","222","0","-0.4","6.26","107","152","119","145","308","327","299"
"222",553882,"Narváez, Omar","1625","13.7","0.307","0.156","0.279","0.463","0.322","0.320","0.291","67","218","85.0","18.0","2201","86.2","85.09","0","222","0","-1.1","6.21","114","164","123","151","292","320","303"
"221",542340,"Villar, Jonathan","1966","11.2","0.339","0.244","0.301","0.584","0.389","0.370","0.327","75","221","86.8","6.4","2113","86.4","86.41","0","221","0","0.0","6.30","110","149","109","148","295","321","297"
"221",663898,"Rodgers, Brendan","1513","14.6","0.341","0.250","0.305","0.591","0.390","0.365","0.322","75","220","88.8","6.9","2195","85.8","85.16","0","221","0","-0.6","6.20","107","151","118","147","308","328","294"
"221",605113,"Ahmed, Nick","1777","12.4","0.315","0.192","0.299","0.507","0.347","0.303","0.288","69","219","85.5","12.1","2203","86.9","85.88","0","221","0","-1.0","6.34","108","152","113","147","303","322","292"
"219",571980,"Naquin, Tyler","1797","12.2","0.364","0.281","0.320","0.645","0.420","0.422","0.361","79","217","88.7","8.5","2149","86.3","85.58","0","219","0","-0.7","6.25","112","152","120","150","292","323","301"
"219",665862,"Chisholm Jr., Jazz","2039","10.7","0.352","0.264","0.309","0.616","0.405","0.397","0.341","76","216","88.6","9.3","2159","85.7","85.01","0","219","0","-0.7","6.31","114","151","115","149","292","320","299"
"219",542583,"Aguilar, Jesús","2066","10.6","0.347","0.273","0.298","0.620","0.401","0.379","0.333","75","216","89.5","18.0","2260","86.3","85.43","0","219","0","-0.9","6.28","107","152","121","147","307","325","294"
"219",643446,"McNeil, Jeff","1514","14.5","0.297","0.128","0.284","0.425","0.308","0.323","0.299","65","219","88.2","11.9","2102","86.6","86.69","0","219","0","0.1","6.30","113","151","115","149","291","321","297"
"218",571976,"Myers, Wil","2010","10.8","0.355","0.257","0.311","0.612","0.400","0.333","0.298","76","214","86.1","9.1","2215","86.3","85.83","0","218","0","-0.5","6.22","108","152","117","146","301","327","298"
"216",647351,"Toro, Abraham","1502","14.4","0.280","0.168","0.246","0.449","0.306","0.324","0.283","60","214","86.8","13.5","2044","85.4","85.30","0","216","0","-0.1","6.21","112","153","125","149","293","320","293"
"216",665487,"Tatis Jr., Fernando","2139","10.1","0.419","0.516","0.319","0.935","0.558","0.578","0.428","90","215","94.4","13.6","2198","86.7","86.76","0","216","0","0.1","6.26","109","154","120","147","305","329","301"
"215",664023,"Happ, Ian","2250","9.6","0.324","0.272","0.273","0.596","0.386","0.369","0.318","69","213","86.6","7.8","2175","85.8","86.06","0","215","0","0.3","6.39","112","152","123","149","294","323","298"
"212",668731,"Baddoo, Akil","1880","11.3","0.355","0.251","0.325","0.607","0.402","0.364","0.310","75","211","84.0","12.7","2069","86.6","86.12","0","212","0","-0.5","6.20","116","152","110","151","292","325","297"
"212",457763,"Posey, Buster","1757","12.1","0.386","0.233","0.348","0.619","0.422","0.413","0.363","81","210","87.6","8.9","2247","86.7","86.03","0","212","0","-0.7","6.30","110","153","121","148","303","323","294"
"211",624424,"Conforto, Michael","1982","10.6","0.301","0.225","0.260","0.526","0.345","0.403","0.342","63","209","88.2","13.4","2122","86.8","86.78","0","211","0","0.0","6.30","111","156","129","149","295","325","302"
"209",544369,"Gregorius, Didi","1579","13.2","0.242","0.246","0.193","0.488","0.301","0.273","0.249","50","207","86.2","19.2","2150","86.6","86.51","0","209","0","-0.1","6.22","115","155","122","151","291","323","294"
"209",669221,"Murphy, Sean","1694","12.3","0.300","0.246","0.258","0.546","0.351","0.417","0.351","62","207","90.1","14.3","2229","85.2","85.17","0","209","0","0.0","6.26","106","152","121","146","304","324","293"
"205",592626,"Pederson, Joc","1918","10.7","0.307","0.233","0.267","0.540","0.351","0.378","0.331","62","202","87.6","10.9","2220","85.7","85.88","0","205","0","0.2","6.33","119","163","125","150","296","324","301"
"205",608324,"Bregman, Alex","1593","12.9","0.307","0.178","0.270","0.485","0.331","0.325","0.305","62","202","87.9","15.6","2172","86.8","86.49","0","205","0","-0.3","6.40","106","151","119","146","298","328","294"
"204",608336,"Gallo, Joey","2591","7.9","0.348","0.426","0.257","0.775","0.465","0.468","0.348","71","204","88.6","19.4","2117","86.2","86.14","0","204","0","-0.1","6.23","115","173","135","152","306","332","303"
"204",663647,"Hayes, Ke'Bryan","1532","13.3","0.335","0.197","0.313","0.532","0.365","0.359","0.332","68","203","88.5","6.1","2187","85.9","86.01","0","204","0","0.1","6.26","107","151","117","146","305","318","286"
"203",572041,"Pollock, AJ","1465","13.9","0.371","0.322","0.316","0.693","0.444","0.427","0.364","75","202","88.6","11.4","2220","86.3","85.02","0","203","0","-1.3","6.22","107","152","119","146","304","325","296"
"202",664056,"Bader, Harrison","1586","12.7","0.345","0.290","0.293","0.635","0.407","0.360","0.301","69","200","86.4","15.4","2250","86.3","85.96","0","202","0","-0.3","6.25","107","150","111","144","305","323","296"
"202",607732,"Stallings, Jacob","1697","11.9","0.340","0.170","0.316","0.510","0.358","0.359","0.336","68","200","86.6","8.6","2177","86.1","85.65","0","202","0","-0.5","6.21","108","152","118","147","304","318","288"
"202",663886,"Stephenson, Tyler","1577","12.8","0.327","0.161","0.301","0.487","0.341","0.338","0.316","65","199","87.4","6.7","2208","86.7","86.76","0","202","0","0.1","6.25","107","151","119","145","302","321","289"
